id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,daging_domba,tahun
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,218,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1348,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,1662,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1745,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,175,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,360,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,1678,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14730,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,118,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,512,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1842,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,43,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,92,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,636,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,438,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,168,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,2915,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,140,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,267,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,10,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,539,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1844,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,209,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,559,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,308,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,394,2021
