id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,daging_babi,tahun
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,0,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,0,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,808,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,138,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,6,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,0,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,0,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,0,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,0,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,31,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,13,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,0,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,0,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,510,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,84,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,5,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,0,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,0,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,0,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,0,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,0,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,0,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,552,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,71,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,4,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,0,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,0,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,0,2022
