id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,daging_ayam,tahun,daging_babi,daging_domba,daging_kelinci,daging_sapi,kubis
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,21412,2019,0,1579,4,3715556,0.0
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,23369,2019,0,1584,0,2248570,4505.0
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20114,2019,0,764,7,1222445,7360.0
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,47898,2019,0,353,2,2016745,0.0
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,57722,2019,0,1505,0,1427248,610.0
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56832,2019,0,26544,0,1856391,61.0
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,94251,2019,5,748,1,3350820,0.0
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,8804,2019,5,511,0,1676102,0.0
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15357,2019,0,1835,99,5440848,4423.0
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2015,2019,0,53,1,747393,7.0
181,32,JAWA BARAT,3271,KOTA BOGOR,1423,2019,0,102,0,4398214,0.0
182,32,JAWA BARAT,3272,KOTA SUKABUMI,4305,2019,0,125,0,1189118,4.0
183,32,JAWA BARAT,3273,KOTA BANDUNG,167,2019,901,112,0,7952044,188.0
184,32,JAWA BARAT,3274,KOTA CIREBON,5457,2019,110,45,0,492507,0.0
185,32,JAWA BARAT,3275,KOTA BEKASI,3081,2019,189,4570,0,1705221,0.0
186,32,JAWA BARAT,3276,KOTA DEPOK,3786,2019,0,135,0,7334457,0.0
187,32,JAWA BARAT,3277,KOTA CIMAHI,304,2019,0,267,0,507071,10.0
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8787,2019,0,20,1,3694145,0.0
189,32,JAWA BARAT,3279,KOTA BANJAR,4833,2019,0,13,1,737367,0.0
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,170479,2020,0,805,0,9908119,469.0
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46698,2020,0,1835,0,1876851,9477.0
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55239,2020,0,751,20,2229888,14019.0
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,38397,2020,0,349,26,7495847,82365.0
194,32,JAWA BARAT,3205,KABUPATEN GARUT,31142,2020,0,31,0,731360,119340.0
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,40305,2020,0,440,14,2743913,1092.0
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,23537,2020,0,218,7,1219172,686.0
