id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1222,TON,2019,daging sapi
72,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2868,TON,2019,daging sapi
73,32,JAWA BARAT,3273,KOTA BANDUNG,7952,TON,2019,daging sapi
74,32,JAWA BARAT,3279,KOTA BANJAR,737,TON,2019,daging sapi
75,32,JAWA BARAT,3275,KOTA BEKASI,1705,TON,2019,daging sapi
76,32,JAWA BARAT,3271,KOTA BOGOR,4398,TON,2019,daging sapi
77,32,JAWA BARAT,3277,KOTA CIMAHI,507,TON,2019,daging sapi
78,32,JAWA BARAT,3274,KOTA CIREBON,493,TON,2019,daging sapi
79,32,JAWA BARAT,3276,KOTA DEPOK,7334,TON,2019,daging sapi
80,32,JAWA BARAT,3272,KOTA SUKABUMI,1189,TON,2019,daging sapi
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3694,TON,2019,daging sapi
82,32, JAWA BARAT,3201,KABUPATEN BOGOR,9908,TON,2020,daging sapi
83,32, JAWA BARAT,3202,KABUPATEN SUKABUMI,1877,TON,2020,daging sapi
84,32, JAWA BARAT,3203,KABUPATEN CIANJUR,2230,TON,2020,daging sapi
85,32, JAWA BARAT,3204,KABUPATEN BANDUNG,7496,TON,2020,daging sapi
86,32, JAWA BARAT,3205,KABUPATEN GARUT,731,TON,2020,daging sapi
87,32, JAWA BARAT,3206,KABUPATEN TASIKMALAY,2744,TON,2020,daging sapi
88,32, JAWA BARAT,3207,KABUPATEN CIAMIS,1219,TON,2020,daging sapi
89,32, JAWA BARAT,3208,KABUPATEN KUNINGAN,1563,TON,2020,daging sapi
90,32, JAWA BARAT,3209,KABUPATEN CIREBON,4372,TON,2020,daging sapi
91,32, JAWA BARAT,3210,KABUPATEN MAJALENGKA,2273,TON,2020,daging sapi
92,32, JAWA BARAT,3211,KABUPATEN SUMEDANG,1562,TON,2020,daging sapi
93,32, JAWA BARAT,3212,KABUPATEN INDRAMAYU,2117,TON,2020,daging sapi
94,32, JAWA BARAT,3213,KABUPATEN SUBANG,1272,TON,2020,daging sapi
95,32, JAWA BARAT,3214,KABUPATEN PURWAKARTA,1538,TON,2020,daging sapi
96,32, JAWA BARAT,3215,KABUPATEN KARAWANG,1243,TON,2020,daging sapi
97,32, JAWA BARAT,3216,KABUPATEN BEKASI,1680,TON,2020,daging sapi
98,32, JAWA BARAT,3217,KABUPATEN BANDUNG BA,5488,TON,2020,daging sapi
99,32, JAWA BARAT,3218,KABUPATEN PANGANDARA,662,TON,2020,daging sapi
100,32, JAWA BARAT,3271,KOTA BOGOR,4313,TON,2020,daging sapi
101,32, JAWA BARAT,3272,KOTA SUKABUMI,1601,TON,2020,daging sapi
102,32, JAWA BARAT,3273,KOTA BANDUNG,9002,TON,2020,daging sapi
103,32, JAWA BARAT,3274,KOTA CIREBON,618,TON,2020,daging sapi
104,32, JAWA BARAT,3275,KOTA BEKASI,3250,TON,2020,daging sapi
105,32, JAWA BARAT,3276,KOTA DEPOK,7359,TON,2020,daging sapi
106,32, JAWA BARAT,3277,KOTA CIMAHI,507,TON,2020,daging sapi
107,32, JAWA BARAT,3278,KOTA TASIKMALAYA,3660,TON,2020,daging sapi
108,32, JAWA BARAT,3279,KOTA BANJAR,710,TON,2020,daging sapi
109,32, JAWA BARAT,3201,KABUPATEN BOGOR,8221,TON,2021,daging sapi
110,32, JAWA BARAT,3202,KABUPATEN SUKABUMI,1882,TON,2021,daging sapi
111,32, JAWA BARAT,3203,KABUPATEN CIANJUR,1927,TON,2021,daging sapi
112,32, JAWA BARAT,3204,KABUPATEN BANDUNG,7396,TON,2021,daging sapi
113,32, JAWA BARAT,3205,KABUPATEN GARUT,495,TON,2021,daging sapi
114,32, JAWA BARAT,3206,KABUPATEN TASIKMALAY,3099,TON,2021,daging sapi
115,32, JAWA BARAT,3207,KABUPATEN CIAMIS,1840,TON,2021,daging sapi
116,32, JAWA BARAT,3208,KABUPATEN KUNINGAN,2726,TON,2021,daging sapi
117,32, JAWA BARAT,3209,KABUPATEN CIREBON,4365,TON,2021,daging sapi
118,32, JAWA BARAT,3210,KABUPATEN MAJALENGKA,2373,TON,2021,daging sapi
119,32, JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2021,daging sapi
120,32, JAWA BARAT,3212,KABUPATEN INDRAMAYU,2153,TON,2021,daging sapi
121,32, JAWA BARAT,3213,KABUPATEN SUBANG,1127,TON,2021,daging sapi
122,32, JAWA BARAT,3214,KABUPATEN PURWAKARTA,1356,TON,2021,daging sapi
123,32, JAWA BARAT,3215,KABUPATEN KARAWANG,2602,TON,2021,daging sapi
124,32, JAWA BARAT,3216,KABUPATEN BEKASI,1695,TON,2021,daging sapi
125,32, JAWA BARAT,3217,KABUPATEN BANDUNG BA,5489,TON,2021,daging sapi
126,32, JAWA BARAT,3218,KABUPATEN PANGANDARA,732,TON,2021,daging sapi
127,32, JAWA BARAT,3271,KOTA BOGOR,40500,TON,2021,daging sapi
128,32, JAWA BARAT,3272,KOTA SUKABUMI,1341,TON,2021,daging sapi
129,32, JAWA BARAT,3273,KOTA BANDUNG,0,TON,2021,daging sapi
130,32, JAWA BARAT,3274,KOTA CIREBON,296,TON,2021,daging sapi
131,32, JAWA BARAT,3275,KOTA BEKASI,2475,TON,2021,daging sapi
132,32, JAWA BARAT,3276,KOTA DEPOK,6209,TON,2021,daging sapi
133,32, JAWA BARAT,3277,KOTA CIMAHI,1286,TON,2021,daging sapi
134,32, JAWA BARAT,3278,KOTA TASIKMALAYA,3655,TON,2021,daging sapi
135,32, JAWA BARAT,3279,KOTA BANJAR,719,TON,2021,daging sapi
136,32, JAWA BARAT,3201,KABUPATEN BOGOR,7357,TON,2022,daging sapi
137,32, JAWA BARAT,3202,KABUPATEN SUKABUMI,1987,TON,2022,daging sapi
138,32, JAWA BARAT,3203,KABUPATEN CIANJUR,2109,TON,2022,daging sapi
139,32, JAWA BARAT,3204,KABUPATEN BANDUNG,6395,TON,2022,daging sapi
140,32, JAWA BARAT,3205,KABUPATEN GARUT,629,TON,2022,daging sapi
141,32, JAWA BARAT,3206,KABUPATEN TASIKMALAY,2730,TON,2022,daging sapi
142,32, JAWA BARAT,3207,KABUPATEN CIAMIS,1997,TON,2022,daging sapi
143,32, JAWA BARAT,3208,KABUPATEN KUNINGAN,2404,TON,2022,daging sapi
144,32, JAWA BARAT,3209,KABUPATEN CIREBON,3663,TON,2022,daging sapi
145,32, JAWA BARAT,3210,KABUPATEN MAJALENGKA,2374,TON,2022,daging sapi
146,32, JAWA BARAT,3211,KABUPATEN SUMEDANG,2509,TON,2022,daging sapi
147,32, JAWA BARAT,3212,KABUPATEN INDRAMAYU,1801,TON,2022,daging sapi
148,32, JAWA BARAT,3213,KABUPATEN SUBANG,1371,TON,2022,daging sapi
149,32, JAWA BARAT,3214,KABUPATEN PURWAKARTA,1311,TON,2022,daging sapi
150,32, JAWA BARAT,3215,KABUPATEN KARAWANG,1910,TON,2022,daging sapi
151,32, JAWA BARAT,3216,KABUPATEN BEKASI,2463,TON,2022,daging sapi
152,32, JAWA BARAT,3217,KABUPATEN BANDUNG BA,5513,TON,2022,daging sapi
153,32, JAWA BARAT,3218,KABUPATEN PANGANDARA,1127,TON,2022,daging sapi
154,32, JAWA BARAT,3271,KOTA BOGOR,2697,TON,2022,daging sapi
155,32, JAWA BARAT,3272,KOTA SUKABUMI,1145,TON,2022,daging sapi
156,32, JAWA BARAT,3273,KOTA BANDUNG,5868,TON,2022,daging sapi
157,32, JAWA BARAT,3274,KOTA CIREBON,453,TON,2022,daging sapi
158,32, JAWA BARAT,3275,KOTA BEKASI,2345,TON,2022,daging sapi
159,32, JAWA BARAT,3276,KOTA DEPOK,7151,TON,2022,daging sapi
160,32, JAWA BARAT,3277,KOTA CIMAHI,417,TON,2022,daging sapi
161,32, JAWA BARAT,3278,KOTA TASIKMALAYA,2040,TON,2022,daging sapi
162,32, JAWA BARAT,3279,KOTA BANJAR,680,TON,2022,daging sapi
